Date,SPX,NWL,MSFT,SPX Rtn,NWL Rtn,MSFT Rtn
6/7/04,1136.47,148.63,23.09,0.012445434,0.017525844,0.031724754
6/14/04,1135.02,143.54,24.45,-0.001275881,-0.034246115,0.058899957
6/21/04,1134.43,149.53,24.64,-0.000519815,0.041730528,0.007770961
6/28/04,1125.38,155.84,24.64,-0.007977575,0.04219889,0
7/6/04,1112.81,157.46,24.03,-0.011169561,0.010395277,-0.024756494
7/12/04,1101.39,158.8,23.7,-0.010262309,0.008510098,-0.013732834
7/19/04,1086.2,156.5,24.17,-0.013791663,-0.014483627,0.019831224
7/26/04,1101.72,159.37,24.57,0.014288345,0.018338658,0.016549441
8/2/04,1063.97,151.98,23.4,-0.034264604,-0.046370082,-0.047619048
8/9/04,1064.8,154.72,23.3,0.000780097,0.018028688,-0.004273504
8/16/04,1098.35,154.04,23.46,0.031508264,-0.004395036,0.006866953
8/23/04,1107.77,157,23.75,0.008576501,0.019215788,0.012361466
8/30/04,1113.63,162.22,23.45,0.005289907,0.033248408,-0.012631579
9/7/04,1123.92,160.49,23.78,0.009240053,-0.01066453,0.014072495
9/13/04,1128.55,161.39,23.79,0.00411951,0.005607826,0.000420521
9/20/04,1110.11,162.4,23.6,-0.016339551,0.006258132,-0.007986549
9/27/04,1131.5,160.19,24.43,0.019268361,-0.013608374,0.035169492
10/4/04,1122.14,157.5,24.21,-0.008272205,-0.016792559,-0.009005321
10/11/04,1108.2,150.12,24.21,-0.012422692,-0.046857143,0
10/18/04,1095.74,151.52,23.99,-0.011243458,0.009325873,-0.009087154
10/25/04,1130.2,149.68,24.19,0.031449066,-0.012143611,0.008336807
11/1/04,1166.17,156.5,25.35,0.031826225,0.04556387,0.0479537
11/8/04,1184.17,156.54,25.92,0.015435142,0.000255591,0.022485207
11/15/04,1170.34,153.87,25.89,-0.011679066,-0.017056343,-0.001157407
11/22/04,1182.65,157.5,25.64,0.010518311,0.023591343,-0.009656238
11/29/04,1191.17,163.38,26.25,0.00720416,0.037333333,0.023790952
12/6/04,1188,166.72,26.1,-0.002661249,0.020443139,-0.005714286
12/13/04,1194.2,168.81,25.99,0.005218855,0.012535988,-0.004214559
12/20/04,1210.13,167.47,26.04,0.013339474,-0.007937918,0.001923817
12/27/04,1211.92,165.97,25.76,0.00147918,-0.008956828,-0.010752688
1/3/05,1186.19,168.22,25.71,-0.021230774,0.013556667,-0.001940994
1/10/05,1184.52,170.91,25.18,-0.001407869,0.015990964,-0.020614547
1/18/05,1167.87,172.96,24.73,-0.014056327,0.011994617,-0.017871326
1/24/05,1171.36,173.42,25.24,0.002988346,0.002659574,0.020622725
1/31/05,1203.03,172.44,25.37,0.027036949,-0.005651021,0.005150555
2/7/05,1205.3,174.76,25.03,0.001886902,0.013453955,-0.013401655
2/14/05,1201.59,174.45,24.64,-0.003078072,-0.001773861,-0.015581302
2/22/05,1211.37,174.4,24.42,0.008139216,-0.000286615,-0.008928571
2/28/05,1222.12,173.45,24.34,0.00887425,-0.005447248,-0.003276003
3/7/05,1200.08,169.91,24.26,-0.018034236,-0.02040934,-0.003286771
3/14/05,1189.65,169.32,23.51,-0.008691087,-0.003472427,-0.030915087
3/21/05,1171.42,172.35,23.48,-0.015323835,0.01789511,-0.001276053
3/28/05,1172.92,168.07,23.32,0.001280497,-0.024833188,-0.00681431
4/4/05,1181.2,164.33,24.12,0.007059305,-0.022252633,0.034305317
4/11/05,1142.62,159.49,23.65,-0.0326617,-0.02945293,-0.019485904
4/18/05,1152.12,164.78,24.15,0.008314225,0.033168224,0.021141649
4/25/05,1156.85,164.8,24.46,0.004105475,0.000121374,0.012836439
5/2/05,1171.35,170.41,24.39,0.012534036,0.034041262,-0.002861815
5/9/05,1154.05,171.95,24.46,-0.014769283,0.009037028,0.002870029
5/16/05,1189.28,181.08,24.97,0.030527274,0.05309683,0.020850368
5/23/05,1198.78,180.74,25.29,0.007988026,-0.001877623,0.012815378
5/31/05,1196.02,192.62,24.67,-0.002302341,0.065729778,-0.024515619
6/6/05,1198.11,184.57,24.67,0.001747462,-0.04179213,0
6/13/05,1216.96,189.41,24.29,0.015733113,0.026223113,-0.015403324
6/20/05,1191.57,192.85,24.29,-0.020863463,0.01816166,0
6/27/05,1194.44,197.32,23.97,0.002408587,0.023178636,-0.013174146
7/5/05,1211.86,209.34,24.34,0.01458424,0.060916278,0.015435962
7/11/05,1227.92,204.15,25.02,0.013252356,-0.024792204,0.027937551
7/18/05,1233.68,206.79,24.91,0.004690859,0.012931668,-0.004396483
7/25/05,1234.18,204.35,24.84,0.000405291,-0.01179941,-0.002810116
8/1/05,1226.42,208.26,26.93,-0.006287576,0.019133839,0.084138486
8/8/05,1230.39,197.62,26.24,0.003237064,-0.051089984,-0.025621983
